2025-10-20 11:53:33,131 INFO    MainThread:4163039 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2025-10-20 11:53:33,132 INFO    MainThread:4163039 [wandb_setup.py:_flush():79] Configure stats pid to 4163039
2025-10-20 11:53:33,132 INFO    MainThread:4163039 [wandb_setup.py:_flush():79] Loading settings from /home/yasir/.config/wandb/settings
2025-10-20 11:53:33,132 INFO    MainThread:4163039 [wandb_setup.py:_flush():79] Loading settings from /home/yasir/Summer_Research/Autoencoder_EdgeGuided_ModuleWise_NOT_Latest/wandb/settings
2025-10-20 11:53:33,132 INFO    MainThread:4163039 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2025-10-20 11:53:33,132 INFO    MainThread:4163039 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2025-10-20 11:53:33,132 INFO    MainThread:4163039 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'Summer_Research/Autoencoder_EdgeGuided_ModuleWise_NOT_Latest/train_YCbCr_Outside_penalty.py', 'program_abspath': '/home/yasir/Summer_Research/Autoencoder_EdgeGuided_ModuleWise_NOT_Latest/train_YCbCr_Outside_penalty.py', 'program': 'train_YCbCr_Outside_penalty.py'}
2025-10-20 11:53:33,132 INFO    MainThread:4163039 [wandb_setup.py:_flush():79] Applying login settings: {}
2025-10-20 11:53:33,132 INFO    MainThread:4163039 [wandb_init.py:_log_setup():533] Logging user logs to /home/yasir/Summer_Research/Autoencoder_EdgeGuided_ModuleWise_NOT_Latest/wandb/run-20251020_115333-qc6mmh8i/logs/debug.log
2025-10-20 11:53:33,132 INFO    MainThread:4163039 [wandb_init.py:_log_setup():534] Logging internal logs to /home/yasir/Summer_Research/Autoencoder_EdgeGuided_ModuleWise_NOT_Latest/wandb/run-20251020_115333-qc6mmh8i/logs/debug-internal.log
2025-10-20 11:53:33,132 INFO    MainThread:4163039 [wandb_init.py:init():619] calling init triggers
2025-10-20 11:53:33,132 INFO    MainThread:4163039 [wandb_init.py:init():627] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.02, 'architecture': 'CNN', 'dataset': '|Custom| MRI-PET', 'epochs': 20}
2025-10-20 11:53:33,132 INFO    MainThread:4163039 [wandb_init.py:init():669] starting backend
2025-10-20 11:53:33,132 INFO    MainThread:4163039 [wandb_init.py:init():673] sending inform_init request
2025-10-20 11:53:33,140 INFO    MainThread:4163039 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-10-20 11:53:33,141 INFO    MainThread:4163039 [wandb_init.py:init():686] backend started and connected
2025-10-20 11:53:33,155 INFO    MainThread:4163039 [wandb_init.py:init():781] updated telemetry
2025-10-20 11:53:33,157 INFO    MainThread:4163039 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2025-10-20 11:53:34,079 INFO    MainThread:4163039 [wandb_init.py:init():867] starting run threads in backend
2025-10-20 11:53:34,578 INFO    MainThread:4163039 [wandb_run.py:_console_start():2456] atexit reg
2025-10-20 11:53:34,580 INFO    MainThread:4163039 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2025-10-20 11:53:34,580 INFO    MainThread:4163039 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-10-20 11:53:34,581 INFO    MainThread:4163039 [wandb_run.py:_redirect():2395] Redirects installed.
2025-10-20 11:53:34,585 INFO    MainThread:4163039 [wandb_init.py:init():911] run started, returning control to user process
2025-10-20 11:55:39,139 WARNING MsgRouterThr:4163039 [router.py:message_loop():75] message_loop has been closed
